delegator_address,shares
akash1ev0vtddkl7jlwfawlk06yzncapw2x9qufatedx,166500000000.0
akash12and067kdcw42mq7gp7fm54edjc70qf7yn34nr,163411148104.0
akash1qwlcuf2c2dhtgy8z5y7xxqev96km0n5mynpeqq,150000623712.0
akash1vk9n57pyjqthp8ydt9x5pgnke0qte5m3lr70xh,150000000000.0
akash1uv0ra5mmd7sqx7rpy5gcl07ufelnad8puepm7r,150000000000.0
akash1ahlyh6yz9j4rf8ns4cqctypc5sdes5jt3rfepr,137565257419.0
akash1tckq55yzrum3n6r26hj06k389kgfqjsnv62pdl,137461776917.0
akash1jet63mn67rgq3jkkexxfkzyt8h6n7gzy5hezua,137431018882.0
akash1e7q0k7m66s2tepg969lpmcc6a8dfnr88k3tu63,135739870733.0
akash1gddjmpd5wrah86dpzr08w58s0u77jsy0rtnp0w,134889000000.0
akash1scc089xs8m67e34pt837z3je8m7950rvkzz88g,127371490102.0
akash1epnrvkylqpk0f2d3us3cvx7x9tlycz424v8fus,127296535325.0
akash15e47t2utfx4ryweyxdpj6xlp4dtcvkx44efyx4,124929653121.0
akash1fvxetkxecpm2q0l2k4uh7jxtjya3ujflds4jnh,118235000000.0
akash1aj7n2f28cha4hkh88e7uftp228upvn7j43u287,117800000000.0
akash1qgdy4vn2xhm3adzgqmddl2xxkukzqpdy5f0nuc,108131000000.0
akash1zt5tyjm8q0d56xcd70zrzvjf89gg9zkd463frj,106873663164.30092
akash1r4nk3fsg3cnz895ryqae0p8g8ceksqceyg84wj,104895621190.0
akash15lsheuweaujktkks9uv0j4gjvqf33cf9j86u02,102199981640.0
akash1wuzqc83rdzfxxremcg9v6lt9adxfpz82h7s8r7,100738360000.0
akash13t0glceyx5j5juhsn3hv8qnqd5dg0lzp4fh4pj,100205221222.0
akash1zv4tjx70a0fqrtx0n90mxqvpmuzwj6wrww6x3k,100000000000.0
akash1j337nrm2reqa6g6nfln4q6084uzh2hnpjqz6wl,100000000000.0
akash192p2jw6uvkszrf25xdv3mzqdv8f4tlle4zdy9p,99993000000.0
akash1zlx37wp6qd6ad6gtdplhxhzq8dsn8fny7974t5,95046157600.0
akash1dzrf3xdcsyzwf0lgy6fmdjh7ly36v6r7frmnra,93106959937.0
